Checked,Ion,Charge,Molecular Weight,m/z,RT [min],FWHM [min],# MI,Area,Parent Area [%],Study File ID
FALSE,[M-H]-1,-1,451.27016,450.26288,1.075,0.083,3,3566890.68,48.129,F1
FALSE,[M-H]-1,-1,749.53749,748.53021,9.361,0.085,2,6449578.847,100.0,F1
FALSE,[M-H]-1,-1,862.55867,861.55139,8.063,0.104,3,6869076.547,93.516,F1
FALSE,[M-H]-1,-1,846.68477,845.67749,11.233,0.099,4,7337226.109,100.0,F1
FALSE,[M-H]-1,-1,875.66328,874.65601,11.218,0.127,5,7253073.766,100.0,F1
FALSE,[M-H]-1,-1,799.61116,798.60388,11.387,0.155,2,3124753.976,44.596,F1
FALSE,[M-H]-1,-1,897.64741,896.64014,9.959,0.089,5,7051155.645,100.0,F1
FALSE,[M-H]-1,-1,827.60591,826.59863,8.995,0.071,4,7016407.073,100.0,F1
FALSE,[M-H]-1,-1,822.6197,821.61243,10.21,0.083,4,6970427.321,100.0,F1
FALSE,[M-H]-1,-1,867.60011,866.59283,8.778,0.106,3,6963960.189,100.0,F1
FALSE,[M-H]-1,-1,761.55928,760.552,7.791,0.049,2,177281.917,100.0,F1
FALSE,[M-H]-1,-1,1044.61848,1043.61121,1.186,0.076,4,3548610.157,52.125,F1
FALSE,[M-H]-1,-1,760.57423,759.56696,7.602,0.061,5,6628509.861,100.0,F1
FALSE,[M-H]-1,-1,779.60744,778.60016,9.866,0.089,4,6542950.434,100.0,F1
FALSE,[M-H]-1,-1,601.21126,600.20398,1.195,0.067,4,6485448.924,100.0,F1
FALSE,[M-H]-1,-1,757.56367,756.5564,10.002,0.111,2,3255226.835,50.201,F1
FALSE,[M-H]-1,-1,565.5439,564.53662,10.427,0.072,4,5324401.921,83.068,F1
FALSE,[M-H]-1,-1,555.35396,554.34668,1.423,0.09,4,6393531.265,100.0,F1
FALSE,[M-H]-1,-1,696.32057,695.31329,4.358,0.23,4,6392749.344,100.0,F1
FALSE,[M-H]-1,-1,707.64424,706.63696,12.549,0.089,2,6314172.337,100.0,F1
FALSE,[M-H]-1,-1,833.65303,832.64575,10.883,0.12,5,6300415.078,100.0,F1
FALSE,[M-H]-1,-1,781.60054,780.59326,10.769,0.086,4,2813852.641,44.875,F1
FALSE,[M-H]-1,-1,820.52699,819.51971,7.165,0.063,4,5875311.234,93.822,F1
FALSE,[M-H]-1,-1,767.54823,766.54095,9.096,0.094,3,4303688.729,100.0,F1
FALSE,[M-H]-1,-1,868.52644,867.51917,6.963,0.035,4,5781350.312,93.617,F1
FALSE,[M-H]-1,-1,479.30131,478.29404,1.523,0.036,2,5437821.327,100.0,F1
FALSE,[M-H]-1,-1,1453.00398,1451.9967,14.497,0.164,5,6139901.693,100.0,F1
FALSE,[M-H]-1,-1,864.57393,863.56665,8.694,0.074,3,5747942.348,93.931,F1
FALSE,[M-H]-1,-1,453.28581,452.27853,1.411,0.069,4,2988907.833,49.675,F1
FALSE,[M-H]-1,-1,531.33339,530.32611,2.259,0.073,5,2235927.535,37.363,F1
FALSE,[M-H]-1,-1,1024.55379,1023.54651,1.156,0.045,3,1582652.517,26.864,F1
FALSE,[M-H]-1,-1,827.56654,826.55927,10.49,0.106,4,5866040.131,100.0,F1
FALSE,[M-H]-1,-1,1109.87581,1108.86853,17.566,0.142,4,5834133.83,100.0,F1
FALSE,[M-H]-1,-1,729.53297,728.5257,9.169,0.086,2,2914549.292,51.479,F1
FALSE,[M-H]-1,-1,751.55354,750.54626,9.228,0.089,4,3060486.232,53.253,F1
FALSE,[M-H]-1,-1,703.55208,702.5448,10.121,0.113,5,3061877.942,53.857,F1
FALSE,[M-H]-1,-1,914.58931,913.58203,8.489,0.06,3,5367057.321,95.897,F1
FALSE,[M-H]-1,-1,704.56117,703.55389,11.034,0.081,5,5595398.878,100.0,F1
FALSE,[M-H]-1,-1,779.58504,778.57776,10.871,0.083,2,2611328.921,46.942,F1
FALSE,[M-H]-1,-1,753.53212,752.52484,9.098,0.073,2,2862677.73,51.542,F1
FALSE,[M-H]-1,-1,832.64613,831.63885,10.879,0.12,3,5546534.413,100.0,F1
FALSE,[M-H]-1,-1,859.63161,858.62433,9.799,0.113,4,5507904.285,100.0,F1
FALSE,[M-H]-1,-1,775.55269,774.54541,8.32,0.067,2,5495477.947,100.0,F1
FALSE,[M-H]-1,-1,621.60701,620.59973,12.461,0.085,4,3125814.152,57.053,F1
FALSE,[M-H]-1,-1,853.62129,852.61401,9.019,0.085,4,5467052.723,100.0,F1
FALSE,[M-H]-1,-1,645.60725,644.59998,11.441,0.083,4,2980740.224,55.209,F1
FALSE,[M-H]-1,-1,626.52431,625.51703,9.555,0.056,2,70972.37121,100.0,F1
FALSE,[M-H]-1,-1,790.55684,789.54956,8.279,0.083,4,5321752.647,100.0,F1
FALSE,[M-H]-1,-1,777.59114,776.58386,9.16,0.1,4,5279403.4,100.0,F1
FALSE,[M-H]-1,-1,929.63429,928.62701,10.301,0.124,4,5233239.209,100.0,F1
FALSE,[M-H]-1,-1,837.55244,836.54517,8.526,0.142,2,5101149.47,100.0,F1
FALSE,[M-H]-1,-1,553.31764,552.31036,1.5,0.102,2,2311087.381,47.376,F1
FALSE,[M-H]-1,-1,849.5533,848.54602,8.116,0.054,4,4570894.881,91.448,F1
FALSE,[M-H]-1,-1,843.60011,842.59283,9.987,0.291,2,2976803.951,100.0,F1
FALSE,[M-H]-1,-1,841.58424,840.57697,8.373,0.225,4,4823286.614,100.0,F1
FALSE,[M-H]-1,-1,821.59437,820.5871,10.386,0.079,2,2077040.118,43.249,F1
FALSE,[M-H]-1,-1,831.63673,830.62946,9.941,0.112,3,4800518.462,100.0,F1
